image;id;name;name2;description;price;url;category
products_img\\health\\drinks\\forever_aloe_vera_gel.jpg;1000;Forever Aloe Vera Gel;Гел от Алое Вера;Със съдържание на над 99,7% чист гел от вътрешността на листата на алое вера Барбаденсис, който се грижи за храносмилателната система.;59.54 лв.;1000.html;Напитки
products_img\\health\\drinks\\forever_aloe_mango.jpg;1001;Forever Aloe Mango;Алое Манго;Подкрепете храносмилателната система и се насладете на невероятния манго вкус!;59.54 лв.;1001.html;Напитки
products_img\\health\\drinks\\forever_aloe_berry_nectar.jpg;1002;Forever Aloe Berry Nectar;Алое Бери Нектар; 90,7% чист гел от алое вера плюс натурални плодови концентрати за подкрепа на вашето здраве!;59.54 лв.;1002.html;Напитки
products_img\\health\\drinks\\tripack_forever_aloe_vera_gel.jpg;1003;Aloe Vera Gel TriPack;Гел от Алое Вера ТриПак;Троен пакет Гел от Алое Вера!;178.61 лв.;1003.html;Напитки
products_img\\health\\drinks\\tripack_forever_aloe_mango.jpg;1004;Forever Aloe Mango TriPak;Алое Манго ТриПак;Троен пакет Алое Манго!;178.61 лв.;1004.html;Напитки
products_img\\health\\drinks\\tripack_forever_aloe_berry.jpg;1005;Aloe Berry Nectar TriPak;Алое Бери Нектар ТриПак;Троен пакет Алое Бери нектар!;178.61 лв.;1005.html;Напитки
products_img\\health\\drinks\\aloe_vera_gel_330ml__pack.jpg;1006;Forever Aloe Vera Gel mini;Гел от Алое Вера мини;Със съдържание на над 99,7% чист гел от вътрешността на листата на алое вера Барбаденсис, който се грижи за храносмилателната система. Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1006.html;Напитки
products_img\\health\\drinks\\aloe_peaches_330ml_pack.jpg;1007;Forever Aloe Peaches mini;Алое Праскови мини;84,5% чист гел от алое вера, допълнен с натурално пюре и аромат на праскови! Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1007.html;Напитки
products_img\\health\\drinks\\aloe_berry_nectar_330ml__pack.jpg;1008;Forever Aloe Berry Nectar mini;Алое Бери Нектар мини;90,7% чист гел от алое вера плюс натурални плодови концентрати за подкрепа на вашето здраве! Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1008.html;Напитки
products_img\\health\\drinks\\forever_freedom.jpg;1009;Forever Freedom;Форевър Фрийдъм; Този напитка се гордее с висока концентрация от 89% чист гел от алое вера, който спомага за подкрепата на естествените защитни функции на нашето тяло.;81.36 лв.;1009.html;Напитки
products_img\\health\\drinks\\aloe_blossom_herbal_tea.jpg;1010;Aloe Blossom Herbal Tea;Билков чай с цветчета от Алое;Безкофеинова смес от листа, билки и подправки, която може да се консумира гореща или охладена.;40.06 лв.;1010.html;Напитки
products_img\\health\\drinks\\fab_forever_active_boost.jpg;1011;FAB Forever Active Boost;ФАБ- Енергийна напитка;FAB Forever Active Boost е богат на витамини B2, B3, B6 и B12. Помага за поддържането на нормалната функция на имунната система и намалява умората.;8.58 лв.;1011.html;Напитки
products_img\\health\\supplements\\fields_of_greens.jpg;1012;"Fields of Greens
";Зелени поля;"Fields of Greens е отличен източник на ""зелена храна"" и антиоксиданти.";27.48 лв.;1012.html;Добавки
products_img\\health\\supplements\\forever_absorbent.jpg;1013;Absorbent-C;Абсорбент-С;Създаден, за да осигури на тялото ви препоръчителната дневна доза на витамин С по лесен и вкусен начин.;40.06 лв.;1013.html;Добавки
products_img\\health\\supplements\\forever_arctic_sea.jpg;1014;Forever Arctic Sea;Арктическо море;Създаден, за да осигури балансирана комбинация от омега-3 мастни киселини.;72.68 лв.;1014.html;Добавки
products_img\\health\\supplements\\forever_argi.jpg;1015;Argi+;Арги;Осигурява на тялото ви L-аргинин, мощна аминокиселина, по удобен и вкусен начин.;156.84 лв.;1015.html;Добавки
products_img\\health\\supplements\\forever_b12_plus.jpg;1016;Forever B12 Plus;Форевър B12 плюс;Формула за освобождаване във времето, която осигурява постоянна доставка на активните съставки за тялото ви през целия ден.;35.50 лв.;1016.html;Добавки
products_img\\health\\supplements\\forever_bee_pollen.jpg;1017;Forever Bee Pollen;Пчелен прашец;Със съдържание на чист пчелен прашец, комбиниран с мед и пчелно млечице.;34.91 лв.;1017.html;Добавки
products_img\\health\\supplements\\forever_bee_propolis.jpg;1018;Forever Bee Propolis;Пчелен прополис;Добавката поддържа защитните сили на организма, съдържа естествени хранителни съединения и е източник на флавоноиди.;72.68 лв.;1018.html;Добавки
